Time,Tissue Displacement,Pressure,Temperature,Piston Displacement,Opening Diameter,Battery Voltage,Charging,deformation,pressureApplied,IAP,stress,force,strain,elasticity,,,,,,,,,
935780,37,100.34,24.39,0,60,0.06,Unplugged,1,-0.54,1.29,9.98,3527.96,16.67,0.60|,,,,,,,,,
935823,36,100.34,24.39,0,60,0.08,Unplugged,2,-0.54,0.76,5.66,2002.34,33.33,0.17|,,,,,,,,,
935865,36,100.34,24.39,0,60,0.08,Unplugged,2,-0.54,0.76,5.66,2001.69,33.33,0.17|,,,,,,,,,
935908,38,100.34,24.39,0,60,0.08,Unplugged,0,-0.54,0.54,3.86,1365.23,0,inf|,,,,,,,,,
935950,38,100.34,24.38,0,60,0.08,Unplugged,0,-0.54,0.54,3.86,1363.45,0,inf|,,,,,,,,,
935993,37,100.34,24.38,0,60,0.08,Unplugged,1,-0.54,1.28,9.96,3522.11,16.67,0.60|,,,,,,,,,
936035,39,100.34,24.38,0,60,0.08,Unplugged,-1,-0.54,0.34,2.24,791.28,-16.67,-0.13|,,,,,,,,,
936078,38,100.34,24.38,0,60,0.09,Unplugged,0,-0.54,0.54,3.85,1362.56,0,inf|,,,,,,,,,
936119,37,100.34,24.38,0,60,0.08,Unplugged,1,-0.54,1.28,9.96,3523.16,16.67,0.60|,,,,,,,,,
936162,37,100.34,24.38,0,60,0.08,Unplugged,1,-0.54,1.29,9.98,3528.06,16.67,0.60|,,,,,,,,,
936204,37,100.34,24.38,0,60,0.08,Unplugged,1,-0.54,1.29,9.99,3532.47,16.67,0.60|,,,,,,,,,
936246,37,100.34,24.38,0,60,0.09,Unplugged,1,-0.54,1.29,9.99,3534.57,16.67,0.60|,,,,,,,,,
936290,37,100.34,24.38,0,60,0.08,Unplugged,1,-0.54,1.29,9.99,3531.67,16.67,0.60|,,,,,,,,,
936334,37,100.34,24.37,0,60,0.08,Unplugged,1,-0.54,1.28,9.95,3518.25,16.67,0.60|,,,,,,,,,
936377,37,100.34,24.37,0,60,0.09,Unplugged,1,-0.54,1.28,9.96,3522.51,16.67,0.60|,,,,,,,,,
936419,37,100.34,24.37,0,60,0.09,Unplugged,1,-0.54,1.28,9.95,3519.1,16.67,0.60|,,,,,,,,,
936462,37,100.34,24.37,0,60,0.08,Unplugged,1,-0.54,1.28,9.96,3521.9,16.67,0.60|,,,,,,,,,
936504,37,100.34,24.37,0,60,0.08,Unplugged,1,-0.54,1.28,9.97,3526.41,16.67,0.60|,,,,,,,,,
