Time,Tissue Displacement,Pressure,Temperature,Piston Displacement,Opening Diameter,Battery Voltage,Charging,deformation,pressureApplied,IAP,stress,force,strain,elasticity
1293118,37,100.34,24.47,0,60,0.07,Unplugged,-4,-0.06,0.05,0.39,136.42,-66.67,-0.01|
1293368,36,100.34,24.47,0,60,0.07,Unplugged,0,-0.06,0.06,0.45,160.42,0,inf|
1293618,36,100.34,24.47,0,60,0.07,Unplugged,0,-0.07,0.07,0.48,168.11,0,inf|
1293868,38,100.34,24.47,0,60,0.06,Unplugged,-2,-0.07,0.06,0.38,135.84,-33.33,-0.01|
1294118,38,100.34,24.47,0,60,0.06,Unplugged,-1,-0.08,0.05,0.32,113.27,-16.67,-0.02|
1294368,37,100.34,24.47,0,60,0.06,Unplugged,-2,-0.08,0.06,0.41,146.06,-33.33,-0.01|
1294618,39,100.34,24.47,0,60,0.06,Unplugged,-2,-0.08,0.06,0.41,146.59,-33.33,-0.01|
1294868,38,100.34,24.47,0,60,0.06,Unplugged,-2,-0.08,0.06,0.42,148.51,-33.33,-0.01|
1295118,37,100.34,24.47,0,60,0.07,Unplugged,-2,-0.08,0.06,0.41,145.86,-33.33,-0.01|
1295368,37,100.34,24.47,0,60,0.07,Unplugged,-1,-0.08,0.05,0.32,113.47,-16.67,-0.02|
1295618,37,100.34,24.47,0,60,0.07,Unplugged,-2,-0.07,0.06,0.4,140.09,-33.33,-0.01|
1295868,37,100.34,24.47,0,60,0.06,Unplugged,-2,-0.07,0.06,0.39,137.25,-33.33,-0.01|
1296118,37,100.34,24.47,0,60,0.06,Unplugged,-1,-0.07,0.04,0.3,104.79,-16.67,-0.02|
1296368,37,100.34,24.47,0,60,0.06,Unplugged,-2,-0.07,0.05,0.37,130.15,-33.33,-0.01|
1296618,37,100.34,24.47,0,60,0.06,Unplugged,2,-0.06,0.09,0.65,228.97,33.33,0.02|
1296868,37,100.34,24.47,0,60,0.07,Unplugged,-2,-0.05,0.04,0.24,85.95,-33.33,-0.01|
1297118,37,100.34,24.47,0,60,0.06,Unplugged,0,-0.03,0.03,0.21,72.86,0,inf|
1297368,37,100.34,24.47,0,60,0.06,Unplugged,-1,-0.03,0.02,0.12,42.45,-16.67,-0.01|
1297618,35,100.34,24.47,0,60,0.06,Unplugged,-2,-0.03,0.02,0.17,58.94,-33.33,-0.00|
1297868,35,100.34,24.47,0,60,0.06,Unplugged,-2,-0.05,0.04,0.25,87,-33.33,-0.01|
1298118,37,100.34,24.47,0,60,0.07,Unplugged,-1,-0.06,0.04,0.25,87.39,-16.67,-0.01|
1298368,39,100.34,24.47,0,60,0.06,Unplugged,-3,-0.06,0.05,0.37,132.4,-50,-0.01|
1298618,38,100.34,24.47,0,60,0.07,Unplugged,-4,-0.07,0.06,0.41,143.58,-66.67,-0.01|
1298868,38,100.34,24.47,0,60,0.06,Unplugged,-2,-0.06,0.05,0.35,122.61,-33.33,-0.01|
1299118,36,100.34,24.47,0,60,0.06,Unplugged,-1,-0.08,0.05,0.32,112.4,-16.67,-0.02|
1299368,35,100.34,24.47,0,60,0.06,Unplugged,-1,-0.08,0.05,0.33,117.35,-16.67,-0.02|
1299618,35,100.34,24.47,0,60,0.06,Unplugged,-1,-0.08,0.05,0.35,122.29,-16.67,-0.02|
1299868,38,100.34,24.47,0,60,0.06,Unplugged,0,-0.08,0.08,0.6,210.73,0,inf|
1300118,36,100.34,24.47,0,60,0.06,Unplugged,1,-0.08,0.2,1.55,548.77,16.67,0.09|
1300368,38,100.34,24.47,0,60,0.06,Unplugged,0,-0.08,0.08,0.58,205.91,0,inf|
1300618,36,100.34,24.47,0,60,0.06,Unplugged,-2,-0.08,0.06,0.4,142.97,-33.33,-0.01|
1300868,38,100.34,24.47,0,60,0.06,Unplugged,-1,-0.07,0.04,0.3,104.56,-16.67,-0.02|
1301118,37,100.34,24.47,0,60,0.06,Unplugged,0,-0.07,0.07,0.49,174.45,0,inf|
1301368,38,100.34,24.47,0,60,0.06,Unplugged,-2,-0.07,0.05,0.36,129.03,-33.33,-0.01|
1301618,37,100.34,24.47,0,60,0.06,Unplugged,-1,-0.07,0.04,0.27,96.79,-16.67,-0.02|
1301868,37,100.34,24.47,0,60,0.06,Unplugged,0,-0.06,0.06,0.46,160.98,0,inf|
1302118,35,100.34,24.47,0,60,0.05,Unplugged,-1,-0.06,0.04,0.26,92.63,-16.67,-0.02|
1302368,38,100.34,24.47,0,60,0.06,Unplugged,-1,-0.06,0.04,0.26,92.57,-16.67,-0.02|
1302618,36,100.34,24.47,0,60,0.06,Unplugged,-2,-0.06,0.05,0.33,115.95,-33.33,-0.01|
1302868,36,100.34,24.47,0,60,0.06,Unplugged,-2,-0.06,0.05,0.32,112.81,-33.33,-0.01|
